V [50%]   |   M 105.28M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 56°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.31M (11.44%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.57M (11.47%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.82M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.79M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.79M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .45   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.83M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .45   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 106.07M (11.52%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .45   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.48M (11.46%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .45   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.56M (11.46%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .45   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.46M (11.45%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .45   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.80M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .45   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.44M (11.45%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .41   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.92M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .41   |   T 51°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.19M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .41   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.94M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .41   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.92M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .41   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.12M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .41   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.40M (11.88%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.83M (11.82%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.92M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 52°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.11M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 50°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.91M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.17M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.16M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.12M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 50°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.21M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.10M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.23M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.96M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.90M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.11M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.41M (11.88%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.41M (11.88%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 50°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.63M (11.91%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.12M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.13M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.14M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 50°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.25M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .42   |   T 51°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.00M (11.84%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 50°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.90M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 50°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.21M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.46M (11.89%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.44M (11.89%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.16M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.21M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .67   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.27M (11.87%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .67   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.18M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .67   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.91M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .67   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.96M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .67   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.93M (11.83%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .67   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.18M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .67   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.25M (11.86%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .65   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.51M (11.89%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .65   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.52M (11.89%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .65   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.00M (11.84%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .65   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.86M (11.93%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .65   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.39M (11.88%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .65   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.08M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .65   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.39M (11.88%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .60   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.35M (11.88%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .60   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.32M (11.87%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .60   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.11M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .60   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.32M (11.87%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .60   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.08M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .60   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.12M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .60   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.15M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .55   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.32M (11.87%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .55   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.10M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .55   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.12M (11.85%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .55   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.32M (11.87%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .55   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.35M (11.88%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .55   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.34M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .55   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.07M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .51   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.33M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .51   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.30M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .51   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.07M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .51   |   T 48°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.05M (11.84%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .51   |   T 53°C   |   mar, 03 NOV 21:02
V [50%]   |   M 109.03M (11.84%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .51   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 108.80M (11.82%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .51   |   T 48°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.30M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 48°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.38M (11.88%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.32M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.14M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 48°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.84M (11.93%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.30M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .47   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.07M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .59   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.35M (11.88%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .59   |   T 48°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.53M (11.90%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .59   |   T 54°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.36M (11.88%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .59   |   T 54°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.04M (11.84%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .59   |   T 54°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.07M (11.85%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .59   |   T 53°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.03M (11.84%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .59   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.28M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .54   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.25M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .54   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.31M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .54   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.00M (11.84%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .54   |   T 48°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.33M (11.87%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .54   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.96M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .54   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.42M (11.88%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .54   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.21M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.23M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.17M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.44M (11.89%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.50M (11.89%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.24M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.02M (11.84%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .50   |   T 52°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.92M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 50°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.92M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 49°C   |   mar, 03 NOV 21:03
V [50%]   |   M 108.89M (11.83%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 51°C   |   mar, 03 NOV 21:03
V [50%]   |   M 109.23M (11.86%)   |   /H 5543.88M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .46   |   T 51°C   |   mar, 03 NOV 21:03
